profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year
1,Janousek,38.2031,-122.027,30,5,14.758125,0.42,12.280000000000001,NA,NA
10,Janousek,38.2,-122.0276,30,5,10.7935,0.352,9.855,NA,NA
100,Janousek,44.6254,-124.0213,100,4,10.5715,1.1725,0.875,NA,NA
1002,Janousek,40.8023,-124.1798,30,12,5.8045,2.3433333333333333,0.8833333333333333,NA,NA
1003,Janousek,40.8023,-124.1815,30,13,4.2208,1.0269230769230768,1.5115384615384615,NA,NA
1004,Janousek,40.8019,-124.1807,30,15,7.340599999999999,2.444,1.0766666666666667,NA,NA
1005,Janousek,40.8022,-124.1808,50,22,11.457,1.1854545454545455,2.0204545454545455,NA,NA
1006,Janousek,40.8023,-124.1815,50,25,8.801,1.1012,1.602,NA,NA
1007,Janousek,40.8019,-124.1806,30,15,8.46,1.8753333333333333,1.5066666666666666,NA,NA
1008,Janousek,40.8023,-124.1815,50,24,15.2586,1.2183333333333333,2.5125,NA,NA
1009,Janousek,43.3258,-124.3257,100,86,20.623,1.0072093023255815,2.05,NA,NA
101,Janousek,44.6255,-124.0215,100,4,10.536000000000001,1.2574999999999998,0.85,NA,NA
1010,Janousek,43.452,-124.2018,100.5,53,31.01565,0.9539622641509434,3.1528301886792454,NA,NA
1011,Janousek,38.19184,-122.31713,100,8,40.55775,0.7324999999999999,6.2,NA,NA
1012,Janousek,38.19084,-122.31988,100,8,35.9265,0.365,11.40625,NA,NA
1013,Janousek,38.19654,-122.32138,100,8,35.2555,0.7949999999999999,5.25625,NA,NA
1014,Janousek,38.1962,-122.3218,100,8,39.7065,0.725,5.75,NA,NA
1015,Janousek,38.1961,-122.32215,100,8,31.461499999999997,0.435,7.5,NA,NA
1016,Janousek,38.19595,-122.3229,100,8,36.13475,0.46875,8.6,NA,NA
1017,Janousek,38.19966,-122.02824,100,8,44.753,0.53875,8.08125,NA,NA
1018,Janousek,38.19993,-122.02876,100,8,48.874,0.27625,20.88125,NA,NA
1019,Janousek,38.19686,-122.02886,100,8,39.41925,0.6175,6.3,NA,NA
102,Janousek,44.6256,-124.0218,100,4,11.456,1.205,0.95,NA,NA
1020,Janousek,38.19712,-122.02848,100,8,43.839499999999994,0.375,13.40625,NA,NA
1021,Janousek,38.19737,-122.02811,100,8,50.5905,0.47625,11.03125,NA,NA
1022,Janousek,38.19745,-122.02761,100,8,60.239,0.5075000000000001,13.125,NA,NA
1023,Janousek,37.9464,-122.41946,100,22,14.13015,1.376818181818182,1.0238636363636364,NA,NA
1024,Janousek,37.94484,-122.41429,54,13,8.0382,1.3592307692307692,1.0942307692307691,NA,NA
1025,Janousek,37.94499,-122.4144,98,21,12.7734,1.328095238095238,1.0083333333333333,NA,NA
1026,Janousek,38.00715,-122.48381,100,8,42.015,0.6375,7.6625,NA,NA
1027,Janousek,59.77316,-151.86098,61,8,16.23375,0.99625,4.04375,NA,NA
1028,Janousek,59.77322,-151.86127,50,7,16.60075,0.8342857142857143,5.042857142857143,NA,NA
1029,Janousek,59.7733,-151.86189,101,10,42.431999999999995,0.826,5.445,NA,NA
103,Janousek,48.5478,-122.5098,100,4,7.395999999999999,1.39,0.475,NA,NA
1030,Janousek,59.77335,-151.86243,50,7,19.17425,0.5700000000000001,7.042857142857143,NA,NA
1031,Janousek,59.77356,-151.86311,57,7,19.841199999999997,0.9257142857142857,4.764285714285714,NA,NA
1032,Janousek,59.77411,-151.86417,57,8,24.1401,0.795,5.05625,NA,NA
1033,Janousek,59.77425,-151.86536,50,7,23.12825,0.6128571428571429,7.45,NA,NA
1034,Janousek,59.64005,-151.53116,100,10,46.9977,1.24,3.435,NA,NA
1035,Janousek,59.64043,-151.53098,50,8,34.9445,0.675,10.325,NA,NA
1036,Janousek,59.64074,-151.53076,102,8,54.901650000000004,0.71875,7.775,NA,NA
1037,Janousek,59.63765,-151.5278,100,9,45.5515,1.3455555555555556,3.4722222222222223,NA,NA
1038,Janousek,59.63757,-151.52858,45,6,21.59255,1.5216666666666667,3.125,NA,NA
1039,Janousek,59.63845,-151.52937,100,10,107.241,1.456,6.535,NA,NA
104,Janousek,48.5479,-122.51,100,4,4.1265,1.49,0.3,NA,NA
1040,Janousek,59.64056,-151.5361,103,10,56.64405,0.752,8.525,NA,NA
1041,Janousek,59.64109,-151.5356,55,8,23.1706,1.13625,3.9625,NA,NA
1042,Janousek,59.55557,-151.30379,30,5,11.29675,1.336,3.19,NA,NA
1044,Janousek,59.55116,-151.30472,30,6,9.883000000000001,1.1066666666666667,4.95,NA,NA
1049,Janousek,59.5563,-151.31259,31,5,12.477949999999998,1.16,3.8,NA,NA
105,Janousek,48.5479,-122.5102,100,4,4.849,1.45,0.35,NA,NA
1050,Janousek,59.55622,-151.31404,30,5,9.79575,1.1199999999999999,2.85,NA,NA
1051,Janousek,37.5514,-122.2383,102,13,20.2346,0.5292307692307692,3.9923076923076923,NA,NA
1052,Janousek,37.4578,-121.9764,104,13,15.338899999999999,0.4776923076923077,3.1538461538461537,NA,NA
1054,Janousek,45.37,-123.966,109,4,22.6449,0.45,5.7875000000000005,NA,NA
1055,Janousek,45.369,-123.966,115,4,68.2075,0.7224999999999999,9.875,NA,NA
1056,Janousek,45.37,-123.96,112,4,46.3719,0.53,9.799999999999999,NA,NA
1057,Janousek,45.37,-123.964,106,4,31.200499999999998,0.5625,6.55,NA,NA
1058,Janousek,45.375,-123.964,104,5,29.9563,0.626,4.66,NA,NA
1059,Janousek,45.367,-123.965,109,4,31.58875,0.5875,6.6625000000000005,NA,NA
106,Janousek,48.5479,-122.5105,100,4,4.0445,1.45,0.325,NA,NA
1060,Janousek,38.167,-122.5513,101,101,29.9469,0.3940594059405941,9.586138613861387,NA,NA
1061,Janousek,37.45827,-121.97655,100,100,30.73235,0.6291,4.9685,NA,NA
1062,Janousek,38.0386,-121.8648,100,100,48.9014,0.1618,33.153,NA,NA
