core_id,longitude,latitude,stratum,monitoring_year,core_type
SP00,-80.9598116,49.2128105,Forest,2026,stratified_random
SP01,-80.9234298,49.1548691,Forest,2026,stratified_random
SP02,-80.936635,49.1818186,Forest,2026,stratified_random
SP03,-80.940408,49.1917899,Forest,2026,stratified_random
SP04,-80.9439114,49.1667269,Forest,2026,stratified_random
SP05,-80.9439114,49.1850525,Forest,2026,stratified_random
SP06,-80.9395995,49.2028392,Forest,2026,stratified_random
SP07,-80.9228908,49.1543301,Forest,2026,stratified_random
SP08,-80.9436419,49.1783151,Forest,2026,stratified_random
SP09,-80.9433724,49.1818186,Forest,2026,stratified_random
SP10,-80.9223518,49.1578336,Forest,2026,stratified_random
SP11,-80.961698,49.2157749,Forest,2026,stratified_random
SP12,-80.938252,49.2141579,Herbaceous,2026,stratified_random
SP13,-80.9096856,49.162415,Herbaceous,2026,stratified_random
SP14,-80.91265,49.1680744,Herbaceous,2026,stratified_random
SP15,-80.9096856,49.1653794,Herbaceous,2026,stratified_random
SP16,-80.9139975,49.1696913,Herbaceous,2026,stratified_random
SP17,-80.9331316,49.1680744,Wetland,2026,stratified_random
SP18,-80.9385215,49.2160444,Wetland,2026,stratified_random
SP19,-80.9363656,49.1704998,Wetland,2026,stratified_random
SP20,-80.9476843,49.210385,Wetland,2026,stratified_random
SP21,-80.9360961,49.1648404,Wetland,2026,stratified_random
